idx,price(GBP),weight,process,destination,roast,blend,arabica_robusta,origin,weight(g),price_per_kg
233,12.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,50.4
234,12.6,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,50.4
235,27,1 kg,Washed,drip (alternative brewing methods),light,beans,100% Arabica,"Rwanda, inne",1000,27
236,11.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,46.4
237,10.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,43.2
238,8.68,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,34.72
239,8.68,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,34.72
240,8.96,250 g,Red Honey,drip (alternative brewing methods),light,beans,100% Arabica,Indie,250,35.84
241,7.84,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,31.36
242,11,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,44
243,10.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,250,43.2
244,12,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,48
245,8.25,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,33
246,6.4,125 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,125,51.2
247,8.64,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,250,34.56
248,5.04,8 x 11g,,drip (alternative brewing methods),light,ground,100% Arabica,Honduras,88,57.27
249,13.2,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,52.8
250,11.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,45.6
251,12,250 g,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,48
252,9.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,250,38.4
253,10,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,40
254,10.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,41.6
255,11.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,45.6
256,10,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,40
257,8.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,250,35.2
258,8.32,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,33.28
