idx,process,brewing method,roast,grind,arabica_robusta,origin,price_per_kg
283,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,45.6
284,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,45.6
285,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Peru,35.4
286,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,34.2
287,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,34.2
288,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,32
289,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,31.2
290,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,34.4
291,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,31.2
292,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,49.6
293,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Meksyk,25.6
294,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Mjanma,33.6
295,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,26.4
296,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,25.8
297,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,23.4
298,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,25.2
299,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,39.33
300,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,60
301,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,39
302,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,36
303,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,33
304,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,56
305,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,65.6
306,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,53.6
307,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,46.4
308,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,37.12
309,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,37.52
310,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,33.6
311,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Demokratyczna Republika Konga,37.6
312,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,37.6
313,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,40.8
314,Semi-washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,40
315,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Papua Nowa Gwinea,36
316,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Tanzania,36
317,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,26.4
318,Pulped natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,31.2
319,Aerobic Fermentation in Piles,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,44
320,Experimental Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,52
321,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,42.4
322,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,23.2
323,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Boliwia,37.96
324,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Boliwia,54.4
325,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,38.08
326,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,35.84
327,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,33.6
328,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Indonezja,0
329,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,48
330,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,33.6
331,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,34.56
332,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,48
333,Monsooning,drip (alternative brewing methods),light,beans,100% Arabica,Laos,60
334,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,59.25
335,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,27
336,Anaerobic natural,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,40.28
337,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Meksyk,68
338,Natural,drip (alternative brewing methods),medium,beans,100% Arabica,"Brazylia, Etiopia",24.8
339,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,45.6
340,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,51.2
341,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,54.4
342,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,36
343,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,55.2
