idx,process,brewing method,roast,grind,origin,price_per_kg,arabica (%),Pure arabica,roast_brew
203,Natural,drip (alternative brewing methods),light,beans,Rwanda,47.2,100,True,light_drip (alternative brewing methods)
204,Red Honey,drip (alternative brewing methods),light,ground,Etiopia,120.0,100,True,light_drip (alternative brewing methods)
205,Red Honey,drip (alternative brewing methods),light,ground,Etiopia,102.86,100,True,light_drip (alternative brewing methods)
206,Red Honey,drip (alternative brewing methods),light,ground,Etiopia,120.0,100,True,light_drip (alternative brewing methods)
207,Red Honey,drip (alternative brewing methods),light,ground,Etiopia,102.86,100,True,light_drip (alternative brewing methods)
208,Red Honey,drip (alternative brewing methods),light,ground,Kolumbia,120.0,100,True,light_drip (alternative brewing methods)
209,Red Honey,drip (alternative brewing methods),light,ground,Kolumbia,102.86,100,True,light_drip (alternative brewing methods)
210,Red Honey,drip (alternative brewing methods),light,ground,Kolumbia,82.29,100,True,light_drip (alternative brewing methods)
211,Natural,drip (alternative brewing methods),light,beans,Brazylia,52.38,100,True,light_drip (alternative brewing methods)
212,Washed,drip (alternative brewing methods),light,beans,Burundi,52.0,100,True,light_drip (alternative brewing methods)
213,Washed,drip (alternative brewing methods),light,beans,Gwatemala,49.6,100,True,light_drip (alternative brewing methods)
214,Honey,drip (alternative brewing methods),light,beans,Nikaragua,52.8,100,True,light_drip (alternative brewing methods)
215,Natural,drip (alternative brewing methods),light,ground,Etiopia,130.91,100,True,light_drip (alternative brewing methods)
216,Washed,drip (alternative brewing methods),light,beans,Kenia,60.0,100,True,light_drip (alternative brewing methods)
217,Natural,drip (alternative brewing methods),light,beans,Nikaragua,60.0,100,True,light_drip (alternative brewing methods)
218,Natural,drip (alternative brewing methods),light,beans,Panama,115.2,100,True,light_drip (alternative brewing methods)
219,Natural,drip (alternative brewing methods),light,beans,Etiopia,87.2,100,True,light_drip (alternative brewing methods)
220,Natural,drip (alternative brewing methods),light,beans,Etiopia,144.0,100,True,light_drip (alternative brewing methods)
221,Carbonic Maceration,drip (alternative brewing methods),light,beans,Brazylia,46.4,100,True,light_drip (alternative brewing methods)
222,Natural,drip (alternative brewing methods),light,beans,Brazylia,37.6,100,True,light_drip (alternative brewing methods)
223,Washed,drip (alternative brewing methods),light,beans,Etiopia,46.4,100,True,light_drip (alternative brewing methods)
224,Advanced,drip (alternative brewing methods),medium,beans,Indie,36.8,100,True,medium_drip (alternative brewing methods)
225,Washed,drip (alternative brewing methods),light,beans,Peru,43.2,100,True,light_drip (alternative brewing methods)
